Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,7141.52,7169.25,7965.94,10042.33,11104.66,12135.31,15175.41,18209.92,16423.34,16750.54,TVSMOTOR
Raw Material Cost,5276.19,5167.5,5663.17,7389.2,7908.64,8912.1,11164.33,13917.64,12114.0,12731.1,TVSMOTOR
Change in Inventory,15.14,-32.7,-9.65,92.07,-70.53,58.73,31.34,75.37,-21.93,7.25,TVSMOTOR
Power and Fuel,89.77,90.45,79.81,91.29,88.29,90.62,107.17,110.08,90.3,75.9,TVSMOTOR
Other Mfr. Exp,112.42,94.3,93.69,114.0,111.65,121.4,136.51,136.88,120.85,111.2,TVSMOTOR
Employee Cost,370.11,407.13,476.11,592.42,652.39,745.64,868.01,922.63,938.41,948.47,TVSMOTOR
Selling and admin,594.35,718.29,860.91,929.62,1049.57,1053.58,1308.75,1165.14,1177.94,926.41,TVSMOTOR
Other Expenses,242.9,249.85,300.29,411.25,410.33,411.29,447.02,597.76,614.05,534.28,TVSMOTOR
Other Income,20.16,-67.0,27.28,30.29,100.46,171.03,99.03,5.63,-0.23,31.09,TVSMOTOR
Depreciation,117.53,130.41,131.65,153.33,236.05,287.81,338.73,399.27,489.03,493.68,TVSMOTOR
Interest,57.09,48.04,25.4,27.42,48.73,43.95,56.62,80.56,102.19,141.6,TVSMOTOR
Profit before tax,316.46,163.58,352.54,456.16,628.94,698.68,878.64,960.96,754.41,826.24,TVSMOTOR
Tax,67.39,47.56,90.91,108.33,139.66,140.6,216.05,290.82,162.16,214.2,TVSMOTOR
Net profit,249.07,116.02,261.63,347.83,489.28,558.08,662.59,670.14,592.25,612.04,TVSMOTOR
