,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,543.0,545.0,537.0,538.3,60467,GODREJAGRO
1,2021-01-04 00:00:00+05:30,540.0,546.0,535.0,542.35,92557,GODREJAGRO
2,2021-01-05 00:00:00+05:30,532.0,541.9,530.05,540.25,70705,GODREJAGRO
3,2021-01-06 00:00:00+05:30,541.0,543.5,531.3,535.05,175560,GODREJAGRO
4,2021-01-07 00:00:00+05:30,541.2,545.0,527.75,529.25,325749,GODREJAGRO
5,2021-01-08 00:00:00+05:30,531.1,538.05,529.95,535.9,202081,GODREJAGRO
6,2021-01-11 00:00:00+05:30,535.9,536.0,525.0,533.05,163355,GODREJAGRO
7,2021-01-12 00:00:00+05:30,526.0,530.65,515.1,528.95,190863,GODREJAGRO
8,2021-01-13 00:00:00+05:30,538.0,538.0,523.85,530.55,212559,GODREJAGRO
9,2021-01-14 00:00:00+05:30,523.25,532.95,523.25,531.1,65482,GODREJAGRO
10,2021-01-15 00:00:00+05:30,539.0,549.8,532.0,544.75,312813,GODREJAGRO
11,2021-01-18 00:00:00+05:30,545.95,546.9,525.0,539.05,133641,GODREJAGRO
12,2021-01-19 00:00:00+05:30,539.15,548.0,537.4,544.1,143738,GODREJAGRO
13,2021-01-20 00:00:00+05:30,541.35,548.0,538.0,545.85,84254,GODREJAGRO
14,2021-01-21 00:00:00+05:30,548.5,554.0,543.65,548.6,181979,GODREJAGRO
15,2021-01-22 00:00:00+05:30,551.0,554.75,531.55,540.25,164126,GODREJAGRO
16,2021-01-25 00:00:00+05:30,547.0,554.0,531.7,545.35,74704,GODREJAGRO
17,2021-01-27 00:00:00+05:30,538.65,538.65,527.0,532.7,126825,GODREJAGRO
18,2021-01-28 00:00:00+05:30,532.0,532.7,524.95,530.35,88803,GODREJAGRO
19,2021-01-29 00:00:00+05:30,533.0,540.45,527.7,535.2,99166,GODREJAGRO
20,2021-02-01 00:00:00+05:30,538.85,544.7,521.6,542.55,227461,GODREJAGRO
21,2021-02-02 00:00:00+05:30,547.0,547.1,528.5,529.9,87387,GODREJAGRO
22,2021-02-03 00:00:00+05:30,531.95,538.0,526.5,530.8,198163,GODREJAGRO
23,2021-02-04 00:00:00+05:30,533.0,538.75,529.0,531.65,129830,GODREJAGRO
24,2021-02-05 00:00:00+05:30,531.0,531.65,505.3,508.2,343294,GODREJAGRO
25,2021-02-08 00:00:00+05:30,511.0,514.5,497.55,500.35,336797,GODREJAGRO
26,2021-02-09 00:00:00+05:30,500.0,509.0,490.1,491.8,291119,GODREJAGRO
27,2021-02-10 00:00:00+05:30,492.0,508.85,491.0,503.25,142017,GODREJAGRO
28,2021-02-11 00:00:00+05:30,510.0,510.0,501.25,502.8,108184,GODREJAGRO
