Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,223.25,254.49,349.29,404.67,484.95,581.21,665.31,816.11,METROPOLIS
Raw Material Cost,,,62.76,70.71,92.49,101.88,111.64,139.08,167.25,212.51,METROPOLIS
Change in Inventory,,,,,,,,,,,METROPOLIS
Power and Fuel,,,3.81,4.06,5.63,6.44,6.76,7.44,9.16,8.88,METROPOLIS
Other Mfr. Exp,,,6.71,6.72,8.47,7.65,45.28,58.83,19.66,25.38,METROPOLIS
Employee Cost,,,44.49,57.84,79.2,94.75,109.91,137.36,148.23,157.44,METROPOLIS
Selling and admin,,,31.17,39.65,60.51,70.15,65.93,81.24,124.89,143.69,METROPOLIS
Other Expenses,,,9.83,4.4,16.75,8.35,8.21,9.74,20.06,25.86,METROPOLIS
Other Income,,,15.31,5.7,38.84,29.67,14.89,20.48,4.79,48.65,METROPOLIS
Depreciation,,,8.19,10.3,11.71,12.18,13.97,15.44,30.85,36.2,METROPOLIS
Interest,,,2.49,1.87,1.36,1.52,2.88,3.37,10.01,8.75,METROPOLIS
Profit before tax,,,69.11,64.64,112.01,131.42,135.26,149.19,139.99,246.05,METROPOLIS
Tax,,,22.63,21.59,36.05,43.41,39.51,47.73,27.93,48.49,METROPOLIS
Net profit,,,46.48,43.05,75.96,88.0,95.76,101.46,112.05,197.56,METROPOLIS
