Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,19.8,GOKUL
Reserves,304.38,317.3,320.39,332.82,242.14,238.76,221.22,223.91,231.35,192.68,GOKUL
Borrowings,1747.98,1152.51,651.41,597.48,20.99,324.7,,,,,GOKUL
Other Liabilities,1385.89,1049.35,1133.08,1049.12,355.91,83.03,28.42,16.52,11.36,10.58,GOKUL
Total,3464.63,2545.54,2131.26,2005.8,645.42,672.87,276.02,266.81,269.09,223.06,GOKUL
Net Block,335.74,337.83,331.06,345.45,174.14,161.83,1.08,0.9,7.52,13.35,GOKUL
Capital Work in Progress,27.82,12.6,6.96,7.66,0.05,0.47,0.47,0.56,2.23,0.56,GOKUL
Investments,222.99,196.03,133.41,47.26,111.53,151.16,117.43,123.21,121.03,105.54,GOKUL
Other Assets,2878.08,1999.08,1659.83,1605.43,359.7,359.41,157.04,142.14,138.31,103.61,GOKUL
Total,3464.63,2545.54,2131.26,2005.8,645.42,672.87,276.02,266.81,269.09,223.06,GOKUL
Receivables,418.04,269.06,420.99,458.81,56.86,30.01,6.3,0.03,7.23,1.04,GOKUL
Inventory,581.83,500.66,401.98,565.38,95.69,133.08,,,,,GOKUL
Cash & Bank,1551.88,867.26,471.71,211.1,81.1,68.43,16.25,0.18,8.97,0.12,GOKUL
No. of Equity Shares,131895000.0,131895000.0,131895000.0,131895000.0,131895000.0,131895000.0,131895000.0,131895000.0,131895000.0,98995000.0,GOKUL
New Bonus Shares,,,,,,,,,,,GOKUL
Face value,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,GOKUL
