Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Cash from Operating Activity,-0.04,0.32,,,0.19,-1.09,3.72,6.81,5.32,0.4,BHAGYAPROP
Cash from Investing Activity,,-0.02,2.15,0.85,-0.58,5.15,0.41,-2.11,18.14,3.41,BHAGYAPROP
Cash from Financing Activity,0.04,-0.29,-2.15,-0.85,0.57,-4.24,-4.05,0.18,-28.33,-3.08,BHAGYAPROP
Net Cash Flow,,0.01,,,0.18,-0.18,0.08,4.87,-4.86,0.72,BHAGYAPROP
