Report Date,Unnamed: 1,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,11.27,11.27,11.27,11.52,11.52,612.0,612.0,612.11,616.5,NAM-INDIA
Reserves,,1406.35,1526.96,1477.48,1723.48,1808.83,1728.22,1920.25,1936.88,2409.02,NAM-INDIA
Borrowings,,,,,,,,,,,NAM-INDIA
Other Liabilities,,91.08,142.98,174.25,150.79,199.51,249.76,179.53,262.36,263.0,NAM-INDIA
Total,,1508.7,1681.21,1663.0,1885.79,2019.86,2589.98,2711.78,2811.35,3288.52,NAM-INDIA
Net Block,,19.36,13.74,6.9,11.69,250.93,257.4,255.88,321.95,299.75,NAM-INDIA
Capital Work in Progress,,,,,,,2.59,0.7,2.0,1.31,NAM-INDIA
Investments,,573.38,753.63,844.9,925.72,973.76,950.9,1279.96,1870.41,2513.01,NAM-INDIA
Other Assets,,915.96,913.84,811.2,948.38,795.17,1379.09,1175.24,616.99,474.45,NAM-INDIA
Total,,1508.7,1681.21,1663.0,1885.79,2019.86,2589.98,2711.78,2811.35,3288.52,NAM-INDIA
Receivables,,12.15,9.36,15.58,47.0,40.65,37.31,90.17,50.94,36.73,NAM-INDIA
Inventory,,,,,,,,,,,NAM-INDIA
Cash & Bank,,40.34,31.06,24.29,41.83,4.74,560.23,490.47,409.11,304.17,NAM-INDIA
No. of Equity Shares,,11270000.0,11270000.0,11270000.0,11520000.0,11520000.0,612000000.0,612000000.0,612111867.0,616504767.0,NAM-INDIA
New Bonus Shares,,,,,,,576000000.0,,,,NAM-INDIA
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,NAM-INDIA
