Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,3.05,3.05,3.05,12.74,12.74,12.74,25.48,25.52,5PAISA
Reserves,,,11.05,14.58,9.08,75.5,50.2,32.22,112.8,133.23,5PAISA
Borrowings,,,,14.83,2.31,,16.15,92.01,219.19,233.93,5PAISA
Other Liabilities,,,1.78,2.26,30.04,20.98,52.16,145.19,270.02,473.3,5PAISA
Total,,,15.88,34.72,44.48,109.22,131.25,282.16,627.49,865.98,5PAISA
Net Block,,,,,0.22,0.47,2.13,2.18,8.21,6.21,5PAISA
Capital Work in Progress,,,,,0.05,0.13,0.01,0.08,,,5PAISA
Investments,,,,,,,2.05,5.47,10.95,12.5,5PAISA
Other Assets,,,15.88,34.72,44.21,108.62,127.06,274.43,608.33,847.27,5PAISA
Total,,,15.88,34.72,44.48,109.22,131.25,282.16,627.49,865.98,5PAISA
Receivables,,,,2.77,23.09,0.41,0.56,1.95,0.13,,5PAISA
Inventory,,,0.01,,1.05,2.55,3.6,,,,5PAISA
Cash & Bank,,,11.55,28.07,12.83,81.12,27.92,113.33,270.47,523.89,5PAISA
No. of Equity Shares,,,3050000.0,3050000.0,3050000.0,12739022.0,12739022.0,12739022.0,25477668.0,,5PAISA
New Bonus Shares,,,,,,,,,,,5PAISA
Face value,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5PAISA
