Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,163.88,186.09,203.93,188.57,281.61,305.71,337.85,389.67,469.82,457.66,DATAMATICS
Raw Material Cost,0.51,0.39,0.19,,0.62,1.19,4.94,3.66,9.97,1.88,DATAMATICS
Change in Inventory,,,,,,,,,,,DATAMATICS
Power and Fuel,3.95,5.13,6.04,5.71,6.41,6.53,6.61,6.98,7.81,5.02,DATAMATICS
Other Mfr. Exp,8.87,3.22,3.96,5.78,5.81,7.2,13.38,16.05,22.68,28.07,DATAMATICS
Employee Cost,95.58,105.54,110.36,102.06,165.22,182.82,200.14,233.31,302.76,317.31,DATAMATICS
Selling and admin,22.64,31.78,37.99,36.47,44.96,55.57,68.4,79.79,64.8,53.73,DATAMATICS
Other Expenses,5.94,8.66,6.8,3.53,9.94,15.18,0.7,1.46,5.93,2.42,DATAMATICS
Other Income,9.0,13.69,18.41,7.94,10.57,3.87,22.64,6.65,15.58,43.73,DATAMATICS
Depreciation,6.09,6.89,6.53,8.42,12.34,11.86,10.23,12.03,13.3,13.25,DATAMATICS
Interest,1.67,2.83,2.05,5.46,5.76,4.03,3.74,3.8,3.01,3.21,DATAMATICS
Profit before tax,27.63,35.34,48.42,29.08,41.12,25.2,52.35,39.24,55.14,76.5,DATAMATICS
Tax,5.73,5.97,7.03,3.73,8.77,0.41,11.68,9.99,14.82,20.19,DATAMATICS
Net profit,21.9,29.37,41.39,25.34,32.35,24.79,40.67,29.24,40.31,56.31,DATAMATICS
