Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,20.49,20.49,20.49,20.49,20.49,21.22,21.22,21.22,21.22,21.22,ORIENTPPR
Reserves,1098.08,417.98,412.46,378.87,393.72,953.39,997.03,1067.4,1069.83,1020.73,ORIENTPPR
Borrowings,509.63,305.28,337.16,380.17,443.49,186.11,90.46,28.49,35.96,88.21,ORIENTPPR
Other Liabilities,602.03,362.34,447.52,443.79,441.7,642.02,700.73,688.12,568.04,830.25,ORIENTPPR
Total,2230.23,1106.09,1217.63,1223.32,1299.4,1802.74,1809.44,1805.23,1695.05,1960.41,ORIENTPPR
Net Block,1231.9,547.63,518.47,514.64,492.74,1280.35,1353.56,1330.51,1322.67,1311.45,ORIENTPPR
Capital Work in Progress,173.48,5.55,2.45,2.77,18.72,85.85,10.6,17.71,53.39,53.87,ORIENTPPR
Investments,87.46,8.97,8.9,8.69,19.34,237.58,297.09,289.43,147.78,435.65,ORIENTPPR
Other Assets,737.39,543.94,687.81,697.22,768.6,198.96,148.19,167.58,171.21,159.44,ORIENTPPR
Total,2230.23,1106.09,1217.63,1223.32,1299.4,1802.74,1809.44,1805.23,1695.05,1960.41,ORIENTPPR
Receivables,346.95,329.02,423.33,362.9,383.47,24.14,37.0,30.13,27.33,23.65,ORIENTPPR
Inventory,196.43,133.22,162.91,228.66,222.96,78.21,60.72,75.49,76.69,69.98,ORIENTPPR
Cash & Bank,51.49,18.06,25.35,27.74,59.15,10.0,5.45,4.5,5.27,13.41,ORIENTPPR
No. of Equity Shares,204879000.0,204879000.0,204879000.0,204879000.0,204879000.0,212196000.0,212196000.0,212196000.0,212196000.0,212196000.0,ORIENTPPR
New Bonus Shares,,,,,,,,,,,ORIENTPPR
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ORIENTPPR
