Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,43.26,46.72,46.72,233.61,233.61,233.61,SHYAMMETL
Reserves,,,,,1173.74,1231.9,1514.94,1617.64,1724.34,2123.56,SHYAMMETL
Borrowings,,,,,272.56,254.3,299.7,413.18,701.27,320.07,SHYAMMETL
Other Liabilities,,,,,365.58,461.42,390.49,443.55,695.35,596.7,SHYAMMETL
Total,,,,,1855.14,1994.34,2251.85,2707.98,3354.57,3273.94,SHYAMMETL
Net Block,,,,,729.29,666.89,767.18,769.63,954.81,808.23,SHYAMMETL
Capital Work in Progress,,,,,146.69,173.23,37.11,239.8,83.83,230.22,SHYAMMETL
Investments,,,,,503.31,531.47,819.09,982.42,989.36,988.62,SHYAMMETL
Other Assets,,,,,475.85,622.75,628.47,716.13,1326.57,1246.87,SHYAMMETL
Total,,,,,1855.14,1994.34,2251.85,2707.98,3354.57,3273.94,SHYAMMETL
Receivables,,,,,68.24,138.91,207.48,88.07,77.38,298.61,SHYAMMETL
Inventory,,,,,111.8,162.02,231.03,361.36,775.65,530.96,SHYAMMETL
Cash & Bank,,,,,36.05,44.03,25.09,42.14,37.25,65.32,SHYAMMETL
No. of Equity Shares,,,,,43261228.0,46722020.0,46722020.0,233610100.0,233610100.0,233610100.0,SHYAMMETL
New Bonus Shares,,,,,,,,,,,SHYAMMETL
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,SHYAMMETL
