Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,100.0,100.0,200.0,200.0,200.0,250.0,240.3,RITES
Reserves,,,,1569.56,1758.05,1835.33,1999.11,2183.83,2326.62,2081.63,RITES
Borrowings,,,,,,,,,7.21,4.17,RITES
Other Liabilities,,,,1898.31,2385.66,2625.19,2838.13,2866.15,3163.44,3308.6,RITES
Total,,,,3567.87,4243.71,4660.52,5037.24,5249.98,5747.27,5634.7,RITES
Net Block,,,,207.37,263.61,262.09,263.9,339.67,411.95,412.96,RITES
Capital Work in Progress,,,,10.19,8.32,4.86,1.96,3.91,4.45,15.48,RITES
Investments,,,,236.32,273.84,372.8,179.76,180.01,291.53,313.52,RITES
Other Assets,,,,3113.99,3697.94,4020.77,4591.62,4726.39,5039.34,4892.74,RITES
Total,,,,3567.87,4243.71,4660.52,5037.24,5249.98,5747.27,5634.7,RITES
Receivables,,,,380.19,531.24,453.85,458.7,585.75,821.66,568.0,RITES
Inventory,,,,6.68,13.07,50.42,9.38,104.93,10.67,289.6,RITES
Cash & Bank,,,,2042.41,2516.09,2852.92,3569.49,3463.37,3600.63,3325.13,RITES
No. of Equity Shares,,,,100000000.0,100000000.0,200000000.0,200000000.0,200000000.0,250000000.0,240301887.0,RITES
New Bonus Shares,,,,,,100000000.0,,,,,RITES
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,RITES
