Report Date,Unnamed: 1,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,712.59,780.01,929.54,1269.44,1399.19,1676.29,1587.02,1133.07,1324.89,NAM-INDIA
Raw Material Cost,,,,,,,,,,,NAM-INDIA
Change in Inventory,,,,,,,,,,,NAM-INDIA
Power and Fuel,,3.43,3.06,2.74,3.19,4.27,2.49,,,,NAM-INDIA
Other Mfr. Exp,,4.49,6.22,10.78,16.12,4.73,289.16,237.61,70.58,64.01,NAM-INDIA
Employee Cost,,132.61,136.81,151.32,182.12,181.98,243.01,277.81,278.83,249.28,NAM-INDIA
Selling and admin,,244.57,252.08,295.18,539.12,598.81,291.55,334.38,179.03,117.14,NAM-INDIA
Other Expenses,,2.02,3.7,10.44,10.13,10.69,207.43,42.53,6.26,15.35,NAM-INDIA
Other Income,,-55.92,-2.77,-0.08,1.29,1.25,4.3,2.02,1.22,0.77,NAM-INDIA
Depreciation,,7.84,14.1,6.79,4.23,17.85,8.45,9.99,32.62,32.59,NAM-INDIA
Interest,,,,,,,2.17,,5.58,4.37,NAM-INDIA
Profit before tax,,261.71,361.27,452.21,515.82,582.11,636.33,686.72,561.39,842.92,NAM-INDIA
Tax,,62.74,58.97,102.62,125.7,177.33,188.76,211.55,149.09,193.53,NAM-INDIA
Net profit,,198.96,302.3,349.59,390.12,404.78,447.57,475.17,412.3,649.39,NAM-INDIA
