Report Date,Unnamed: 1,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,6.0,6.0,6.0,15.0,15.0,20.4,20.4,20.4,61.2,SHRENIK
Reserves,,0.1,0.71,2.09,8.63,13.06,34.69,43.18,55.28,12.34,SHRENIK
Borrowings,,40.89,55.06,59.6,63.5,92.95,123.61,164.99,174.19,175.72,SHRENIK
Other Liabilities,,4.2,10.99,12.55,26.27,25.99,26.79,68.82,83.45,104.25,SHRENIK
Total,,51.19,72.76,80.24,113.4,147.0,205.49,297.39,333.32,353.51,SHRENIK
Net Block,,1.53,1.54,1.99,2.94,3.42,5.65,6.57,12.16,9.6,SHRENIK
Capital Work in Progress,,,,,,0.59,,4.92,,,SHRENIK
Investments,,0.52,0.52,0.52,0.52,,,,,,SHRENIK
Other Assets,,49.14,70.7,77.73,109.94,142.99,199.84,285.9,321.16,343.91,SHRENIK
Total,,51.19,72.76,80.24,113.4,147.0,205.49,297.39,333.32,353.51,SHRENIK
Receivables,,16.42,30.35,41.94,48.2,48.64,54.42,121.47,127.89,143.39,SHRENIK
Inventory,,29.71,37.16,29.81,56.57,76.45,132.42,148.97,180.13,192.32,SHRENIK
Cash & Bank,,1.64,1.01,3.31,2.95,1.77,0.37,1.38,3.85,1.57,SHRENIK
No. of Equity Shares,,6000000.0,6000000.0,6000000.0,15000000.0,15000000.0,20400000.0,102000000.0,102000000.0,612000000.0,SHRENIK
New Bonus Shares,,,,,,,,,,,SHRENIK
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,1.0,SHRENIK
