Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,8.04,8.04,8.04,20.09,TATVA
Reserves,,,,,,,51.45,71.6,106.41,141.85,TATVA
Borrowings,,,,,,,56.15,77.15,90.69,90.25,TATVA
Other Liabilities,,,,,,,29.01,30.56,40.17,57.49,TATVA
Total,,,,,,,144.65,187.35,245.31,309.68,TATVA
Net Block,,,,,,,57.03,66.71,111.18,120.45,TATVA
Capital Work in Progress,,,,,,,9.94,6.04,4.89,9.81,TATVA
Investments,,,,,,,1.2,0.67,0.67,0.67,TATVA
Other Assets,,,,,,,76.48,113.93,128.57,178.75,TATVA
Total,,,,,,,144.65,187.35,245.31,309.68,TATVA
Receivables,,,,,,,32.88,44.65,50.97,90.34,TATVA
Inventory,,,,,,,25.75,31.06,58.72,68.36,TATVA
Cash & Bank,,,,,,,7.17,15.67,9.82,3.59,TATVA
No. of Equity Shares,,,,,,,8035000.0,8035000.0,8035000.0,20087500.0,TATVA
New Bonus Shares,,,,,,,,,,12052500.0,TATVA
Face value,,,,,,,10.0,10.0,10.0,10.0,TATVA
