Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,1.83,5.17,5.17,10.73,10.73,10.73,10.73,MOKSH
Reserves,,,,1.0,2.82,5.92,15.09,19.89,25.23,29.47,MOKSH
Borrowings,,,,15.49,12.53,35.9,33.93,49.53,59.86,35.54,MOKSH
Other Liabilities,,,,8.47,23.48,5.34,2.43,4.57,7.5,1.39,MOKSH
Total,,,,26.79,44.0,52.33,62.18,84.72,103.32,77.13,MOKSH
Net Block,,,,1.69,1.66,1.87,1.85,1.85,0.06,0.18,MOKSH
Capital Work in Progress,,,,,,,,,,,MOKSH
Investments,,,,,,,,,,,MOKSH
Other Assets,,,,25.1,42.34,50.46,60.33,82.87,103.26,76.95,MOKSH
Total,,,,26.79,44.0,52.33,62.18,84.72,103.32,77.13,MOKSH
Receivables,,,,3.26,12.99,8.52,9.86,10.4,35.39,41.94,MOKSH
Inventory,,,,21.69,26.83,37.81,43.38,46.46,27.23,23.56,MOKSH
Cash & Bank,,,,0.01,2.33,3.82,4.59,22.89,37.53,9.46,MOKSH
No. of Equity Shares,,,,1833374.0,5166674.0,5166674.0,10732011.0,10732011.0,10732011.0,10732011.0,MOKSH
New Bonus Shares,,,,,,,,,,,MOKSH
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,MOKSH
