Report Date,Unnamed: 1,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,0.01,0.09,0.09,0.09,2.95,2.95,2.95,8.23,10.03,JAIPURKURT
Reserves,,,0.01,0.05,0.53,3.62,4.5,5.52,1.84,4.88,JAIPURKURT
Borrowings,,0.01,0.54,0.81,2.41,0.15,5.81,7.87,7.81,5.79,JAIPURKURT
Other Liabilities,,0.31,0.89,1.1,2.27,2.69,3.19,4.11,7.19,3.73,JAIPURKURT
Total,,0.33,1.53,2.05,5.3,9.41,16.45,20.45,25.07,24.43,JAIPURKURT
Net Block,,,0.03,0.03,0.2,0.35,1.2,1.21,1.08,1.17,JAIPURKURT
Capital Work in Progress,,,,,,,,,,0.01,JAIPURKURT
Investments,,,,,,0.5,0.53,0.53,0.53,0.53,JAIPURKURT
Other Assets,,0.33,1.5,2.02,5.1,8.56,14.72,18.71,23.46,22.72,JAIPURKURT
Total,,0.33,1.53,2.05,5.3,9.41,16.45,20.45,25.07,24.43,JAIPURKURT
Receivables,,0.19,0.76,1.38,3.49,4.15,6.73,6.25,5.34,5.15,JAIPURKURT
Inventory,,0.11,0.7,0.57,1.47,3.87,7.34,10.9,15.53,13.88,JAIPURKURT
Cash & Bank,,0.03,0.02,0.06,0.1,0.05,0.05,0.17,0.1,0.13,JAIPURKURT
No. of Equity Shares,,10000.0,90000.0,90000.0,90000.0,2949580.0,2949580.0,2949580.0,8233950.0,10033950.0,JAIPURKURT
New Bonus Shares,,,,,,,,,,,JAIPURKURT
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,JAIPURKURT
