Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,6.25,6.25,6.25,15.0,15.0,21.42,21.42,21.42,21.42,SRPL
Reserves,,0.76,0.84,3.26,3.77,4.43,18.14,21.48,23.81,24.66,SRPL
Borrowings,,31.85,37.4,55.32,49.88,47.23,46.67,41.98,39.53,43.73,SRPL
Other Liabilities,,3.19,4.28,39.18,15.24,21.09,26.35,11.96,16.08,10.29,SRPL
Total,,42.05,48.77,104.01,83.89,87.75,112.58,96.84,100.84,100.1,SRPL
Net Block,,17.69,20.41,14.91,13.02,11.46,10.59,9.56,8.4,7.41,SRPL
Capital Work in Progress,,,,,,,,,,,SRPL
Investments,,,,,,,,,,,SRPL
Other Assets,,24.36,28.36,89.1,70.87,76.29,101.99,87.28,92.44,92.69,SRPL
Total,,42.05,48.77,104.01,83.89,87.75,112.58,96.84,100.84,100.1,SRPL
Receivables,,3.65,3.18,58.14,37.22,37.89,52.69,37.2,51.32,43.43,SRPL
Inventory,,15.17,18.43,29.42,31.86,37.0,46.62,47.15,38.81,47.09,SRPL
Cash & Bank,,3.16,0.14,0.26,0.32,0.1,0.42,0.69,0.75,1.0,SRPL
No. of Equity Shares,,6250000.0,6250000.0,6250000.0,15000000.0,15000000.0,21420000.0,21420000.0,21420000.0,21420000.0,SRPL
New Bonus Shares,,,,,,,,,,,SRPL
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,SRPL
