Report Date,Unnamed: 1,Unnamed: 2,2012-03-31 00:00:00,2013-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,120.5,120.5,361.5,361.5,334.39,334.39,334.39,334.39,HAL
Reserves,,,11218.1,13257.69,10657.6,12175.13,9151.26,11740.54,12865.19,15022.16,HAL
Borrowings,,,5.3,4.79,79.8,1022.03,904.52,4156.66,5926.97,50.89,HAL
Other Liabilities,,,43961.25,44145.76,45419.7,38148.85,38043.7,35238.05,35008.4,37796.61,HAL
Total,,,55305.15,57528.74,56518.6,51707.51,48433.87,51469.64,54134.95,53204.05,HAL
Net Block,,,1938.28,2008.47,6925.2,7349.56,7566.07,7454.3,7351.48,7483.18,HAL
Capital Work in Progress,,,69.98,102.66,1025.4,1389.4,1457.82,1499.01,2040.11,2076.65,HAL
Investments,,,527.45,707.35,886.4,980.74,989.37,901.79,940.15,989.14,HAL
Other Assets,,,52769.44,54710.26,47681.6,41987.81,38420.61,41614.54,43803.21,42655.08,HAL
Total,,,55305.15,57528.74,56518.6,51707.51,48433.87,51469.64,54134.95,53204.05,HAL
Receivables,,,3906.23,5491.17,4836.9,4220.16,6750.79,12459.03,11234.73,5639.36,HAL
Inventory,,,16088.83,17862.71,23997.8,21538.76,20148.32,20467.31,20379.2,17892.74,HAL
Cash & Bank,,,21932.54,13377.97,13303.4,11116.84,6524.2,95.38,297.91,7166.33,HAL
No. of Equity Shares,,,120500000.0,120500000.0,361500000.0,361500000.0,334387500.0,334387500.0,334387500.0,334387500.0,HAL
New Bonus Shares,,,,,,,,,,,HAL
Face value,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,HAL
