Report Date,Unnamed: 1,Unnamed: 2,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,3640.73,3205.52,3669.22,3713.9,3932.39,4454.97,4581.56,4690.02,IRFC
Expenses,,,8.16,51.03,36.6,18.73,7.36,50.55,3.06,28.32,IRFC
Other Income,,,0.21,,,0.27,0.07,0.04,0.04,0.02,IRFC
Depreciation,,,0.12,0.12,0.12,0.12,0.12,4.08,3.1,3.11,IRFC
Interest,,,2725.62,2499.71,2740.69,2700.29,2878.24,2917.83,3073.49,3157.13,IRFC
Profit before tax,,,907.04,654.66,891.81,995.03,1046.74,1482.55,1501.95,1501.48,IRFC
Tax,,,,,,,,,,,IRFC
Net profit,,,907.04,654.66,891.81,995.03,1046.74,1482.55,1501.95,1501.48,IRFC
Operating Profit,,,3632.57,3154.49,3632.62,3695.17,3925.03,4404.42,4578.5,4661.7,IRFC
