Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,217.82,225.45,261.7,282.58,271.03,297.41,323.82,383.29,339.9,330.86,OCCL
Raw Material Cost,74.34,75.09,66.81,86.18,73.1,61.55,81.2,107.38,82.69,80.7,OCCL
Change in Inventory,1.94,7.51,-1.08,1.1,3.89,-8.42,5.14,4.31,-7.44,1.62,OCCL
Power and Fuel,28.2,37.1,43.08,40.76,34.76,36.98,38.96,42.65,34.62,31.74,OCCL
Other Mfr. Exp,12.39,12.85,15.65,19.94,18.47,21.61,26.63,27.51,26.02,22.22,OCCL
Employee Cost,20.47,22.0,23.58,29.1,34.54,39.29,40.77,47.42,46.27,46.04,OCCL
Selling and admin,24.61,25.17,29.34,27.59,31.26,33.04,35.97,36.52,36.22,34.53,OCCL
Other Expenses,3.66,3.18,13.38,7.67,1.12,7.24,5.74,3.5,7.7,5.11,OCCL
Other Income,3.84,4.86,2.86,11.7,5.09,5.6,4.13,6.8,9.57,11.84,OCCL
Depreciation,7.12,9.61,10.43,13.08,15.65,15.15,16.34,18.59,20.05,20.98,OCCL
Interest,8.31,12.78,11.05,8.1,6.35,5.01,7.85,8.25,9.16,6.35,OCCL
Profit before tax,44.5,40.04,50.16,62.96,64.76,74.72,79.63,102.58,79.3,96.65,OCCL
Tax,13.04,12.65,9.71,11.64,11.78,20.54,22.88,28.84,7.8,21.65,OCCL
Net profit,31.46,27.38,40.44,51.32,52.99,54.17,56.75,73.74,71.51,75.0,OCCL
