Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,101.65,64.37,120.3,1282.82,986.02,871.49,883.63,TECHNOE
Raw Material Cost,,,,,,,,,,,TECHNOE
Change in Inventory,,,,,,,7.61,11.09,-12.42,-0.26,TECHNOE
Power and Fuel,,,,,,,2.6,2.69,2.24,2.0,TECHNOE
Other Mfr. Exp,,,,,,7.71,903.73,658.81,560.47,584.26,TECHNOE
Employee Cost,,,,0.92,0.79,0.81,39.41,41.41,39.7,33.37,TECHNOE
Selling and admin,,,,1.32,1.37,1.67,33.47,29.32,26.49,30.02,TECHNOE
Other Expenses,,,,0.87,54.95,,15.89,14.57,12.72,16.02,TECHNOE
Other Income,,,,9.88,114.67,19.11,36.96,59.17,44.93,83.59,TECHNOE
Depreciation,,,,46.82,35.82,37.47,42.36,41.82,41.52,41.11,TECHNOE
Interest,,,,26.33,23.49,21.41,24.77,13.38,7.31,9.4,TECHNOE
Profit before tax,,,,35.27,62.62,70.34,265.16,254.28,213.55,250.78,TECHNOE
Tax,,,,,26.97,14.28,64.87,72.68,36.86,50.33,TECHNOE
Net profit,,,,35.27,35.64,56.05,200.3,181.59,176.69,200.45,TECHNOE
