Report Date,Unnamed: 1,Unnamed: 2,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,35.01,118.66,35.85,27.82,53.06,85.59,35.23,45.96,RKEC
Expenses,,,24.06,93.35,31.57,23.15,44.82,74.89,28.35,39.63,RKEC
Other Income,,,-2.94,-5.2,0.6,0.58,0.34,1.93,0.27,0.82,RKEC
Depreciation,,,1.47,2.26,1.0,2.36,0.31,-1.17,0.98,0.94,RKEC
Interest,,,6.04,0.89,2.07,1.14,3.65,4.65,2.98,2.01,RKEC
Profit before tax,,,0.5,16.96,1.81,1.75,4.62,9.15,3.19,4.2,RKEC
Tax,,,0.12,5.1,0.69,0.74,1.18,1.69,0.6,1.07,RKEC
Net profit,,,0.38,11.86,1.12,1.01,3.44,7.45,2.6,3.13,RKEC
Operating Profit,,,10.95,25.31,4.28,4.67,8.24,10.7,6.88,6.33,RKEC
