Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,,,39.66,79.57,107.14,138.87,158.68,187.41,ACCURACY
Expenses,,,,,35.86,72.5,97.65,130.07,145.96,172.77,ACCURACY
Other Income,,,,,0.01,0.06,0.07,0.81,0.16,0.43,ACCURACY
Depreciation,,,,,2.9,1.23,2.16,4.4,2.86,3.03,ACCURACY
Interest,,,,,0.66,5.14,2.36,-1.51,2.47,1.72,ACCURACY
Profit before tax,,,,,0.25,0.76,5.04,6.72,7.55,10.32,ACCURACY
Tax,,,,,0.14,0.02,1.4,2.06,2.13,3.63,ACCURACY
Net profit,,,,,0.12,0.75,3.64,4.66,5.42,6.69,ACCURACY
Operating Profit,,,,,3.8,7.07,9.49,8.8,12.72,14.64,ACCURACY
