Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,1.42,1.42,1.42,1.42,1.33,10.62,CLEAN
Reserves,,,,,99.14,142.56,186.11,270.98,341.12,529.39,CLEAN
Borrowings,,,,,11.95,0.4,0.55,2.6,2.69,0.33,CLEAN
Other Liabilities,,,,,26.97,34.59,47.62,52.8,85.09,119.91,CLEAN
Total,,,,,139.48,178.97,235.7,327.8,430.23,660.25,CLEAN
Net Block,,,,,63.5,77.09,101.43,126.07,165.58,185.85,CLEAN
Capital Work in Progress,,,,,,2.34,1.49,3.93,3.42,54.99,CLEAN
Investments,,,,,0.98,31.94,18.14,76.25,134.09,232.57,CLEAN
Other Assets,,,,,75.0,67.6,114.64,121.55,127.14,186.84,CLEAN
Total,,,,,139.48,178.97,235.7,327.8,430.23,660.25,CLEAN
Receivables,,,,,26.07,21.44,39.66,59.77,69.83,74.23,CLEAN
Inventory,,,,,36.92,30.73,29.04,37.03,34.59,52.9,CLEAN
Cash & Bank,,,,,4.62,6.47,29.47,9.42,8.18,15.57,CLEAN
No. of Equity Shares,,,,,1415727.0,1415727.0,1415727.0,1415727.0,1327737.0,106218960.0,CLEAN
New Bonus Shares,,,,,,,,,,9294159.0,CLEAN
Face value,,,,,10.0,10.0,10.0,10.0,10.0,1.0,CLEAN
