Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,,0.01,142.59,142.59,BIRLATYRE
Reserves,,,,,,,,-0.01,-425.66,-709.44,BIRLATYRE
Borrowings,,,,,,,,,906.72,983.89,BIRLATYRE
Other Liabilities,,,,,,,,0.01,1004.75,1080.27,BIRLATYRE
Total,,,,,,,,0.01,1628.4,1497.31,BIRLATYRE
Net Block,,,,,,,,,516.95,477.02,BIRLATYRE
Capital Work in Progress,,,,,,,,,775.44,775.24,BIRLATYRE
Investments,,,,,,,,,,,BIRLATYRE
Other Assets,,,,,,,,0.01,336.01,245.05,BIRLATYRE
Total,,,,,,,,0.01,1628.4,1497.31,BIRLATYRE
Receivables,,,,,,,,,115.45,106.26,BIRLATYRE
Inventory,,,,,,,,,76.82,41.6,BIRLATYRE
Cash & Bank,,,,,,,,0.01,19.85,2.95,BIRLATYRE
No. of Equity Shares,,,,,,,,10000.0,142590079.0,142590079.0,BIRLATYRE
New Bonus Shares,,,,,,,,,,,BIRLATYRE
Face value,,,,,,,,10.0,10.0,10.0,BIRLATYRE
