Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,704.26,839.24,839.24,839.24,839.24,1030.05,KALYANKJIL
Reserves,,,,,611.81,641.64,1120.01,1167.14,1199.08,1995.4,KALYANKJIL
Borrowings,,,,,2164.59,2536.52,1647.93,2663.61,2552.09,2546.7,KALYANKJIL
Other Liabilities,,,,,1858.76,1497.41,3037.3,1374.13,2116.97,2340.28,KALYANKJIL
Total,,,,,5339.42,5514.81,6644.48,6044.12,6707.38,7912.43,KALYANKJIL
Net Block,,,,,812.38,872.56,1003.29,1021.97,1567.75,1430.91,KALYANKJIL
Capital Work in Progress,,,,,14.22,,16.26,21.73,24.44,53.03,KALYANKJIL
Investments,,,,,251.59,251.59,260.14,267.07,273.07,754.85,KALYANKJIL
Other Assets,,,,,4261.23,4390.66,5364.79,4733.35,4842.12,5673.64,KALYANKJIL
Total,,,,,5339.42,5514.81,6644.48,6044.12,6707.38,7912.43,KALYANKJIL
Receivables,,,,,27.06,5.84,0.73,5.03,2.07,3.99,KALYANKJIL
Inventory,,,,,3169.72,3405.71,3972.96,3558.54,3635.74,4388.13,KALYANKJIL
Cash & Bank,,,,,485.53,525.87,689.22,467.64,464.54,899.5,KALYANKJIL
No. of Equity Shares,,,,,704259970.0,839241600.0,839241600.0,839241600.0,839241600.0,1030053057.0,KALYANKJIL
New Bonus Shares,,,,,,,,,,,KALYANKJIL
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,KALYANKJIL
