Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,51.94,58.53,77.32,104.92,124.18,158.29,210.7,303.72,327.95,435.94,DSSL
Raw Material Cost,45.82,50.94,68.41,95.93,109.24,141.47,182.83,264.14,275.58,421.85,DSSL
Change in Inventory,0.78,-0.57,0.13,1.99,-0.82,2.57,4.61,2.98,-8.07,33.75,DSSL
Power and Fuel,0.03,0.05,0.05,0.08,0.11,0.11,0.11,0.1,0.11,0.06,DSSL
Other Mfr. Exp,0.04,0.04,0.04,0.06,0.08,0.09,0.15,0.07,0.09,0.22,DSSL
Employee Cost,2.34,2.93,3.81,4.61,7.41,11.05,20.47,24.48,22.38,23.94,DSSL
Selling and admin,0.89,1.0,1.48,1.96,2.22,2.98,4.46,5.76,6.81,4.11,DSSL
Other Expenses,0.07,0.08,0.2,0.27,0.13,0.42,0.62,0.27,0.3,0.84,DSSL
Other Income,0.18,0.13,0.27,0.43,0.52,0.42,0.83,1.18,2.23,1.85,DSSL
Depreciation,0.99,1.04,1.17,1.21,0.62,0.61,0.76,0.72,1.03,1.26,DSSL
Interest,1.28,1.26,1.72,2.19,2.75,2.91,3.9,6.03,7.76,7.17,DSSL
Profit before tax,1.44,0.75,0.84,1.03,1.32,1.64,2.84,6.31,8.05,12.09,DSSL
Tax,0.41,0.22,0.26,0.34,0.4,0.41,0.94,2.13,1.94,2.88,DSSL
Net profit,1.03,0.52,0.58,0.69,0.91,1.24,1.89,4.19,6.12,9.22,DSSL
