Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,10.7,11.74,11.74,11.74,11.74,11.74,11.74,11.74,14.09,14.09,ARROWGREEN
Reserves,4.19,4.61,7.23,10.25,15.73,29.76,38.3,36.13,43.59,46.16,ARROWGREEN
Borrowings,9.44,2.57,0.13,,,,,,5.24,4.13,ARROWGREEN
Other Liabilities,2.7,5.01,6.61,9.06,5.88,5.95,5.5,6.76,7.26,6.84,ARROWGREEN
Total,27.03,23.93,25.71,31.05,33.35,47.45,55.54,54.63,70.18,71.22,ARROWGREEN
Net Block,1.54,2.3,3.04,5.46,5.12,16.4,15.54,13.18,16.94,14.65,ARROWGREEN
Capital Work in Progress,1.49,0.95,0.89,1.11,1.32,1.19,0.66,1.2,0.38,0.34,ARROWGREEN
Investments,0.39,0.39,7.43,15.45,15.85,18.72,25.55,12.23,10.55,6.34,ARROWGREEN
Other Assets,23.61,20.29,14.35,9.03,11.06,11.14,13.79,28.02,42.31,49.89,ARROWGREEN
Total,27.03,23.93,25.71,31.05,33.35,47.45,55.54,54.63,70.18,71.22,ARROWGREEN
Receivables,4.59,3.15,0.44,0.5,0.57,1.74,3.05,7.04,2.63,6.69,ARROWGREEN
Inventory,3.89,3.95,3.12,0.7,0.94,1.93,4.49,5.5,3.05,3.14,ARROWGREEN
Cash & Bank,5.97,4.33,5.31,2.37,5.44,3.94,1.25,3.66,11.66,9.05,ARROWGREEN
No. of Equity Shares,10700400.0,11739948.0,11739900.0,11739948.0,11739948.0,11739948.0,11739948.0,11739948.0,14087938.0,14087938.0,ARROWGREEN
New Bonus Shares,,,,,,,,,,,ARROWGREEN
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,ARROWGREEN
