Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,3.5,3.5,5.75,5.75,5.75,11.5,15.75,15.75,15.75,15.75,WORTH
Reserves,7.36,10.0,15.15,21.13,27.6,30.27,49.46,62.58,75.58,90.67,WORTH
Borrowings,22.52,21.91,19.75,17.67,28.31,20.63,12.87,5.04,17.32,14.91,WORTH
Other Liabilities,4.27,9.37,13.84,17.0,24.06,13.31,17.11,14.64,14.1,15.0,WORTH
Total,37.65,44.78,54.49,61.55,85.72,75.71,95.19,98.01,122.75,136.33,WORTH
Net Block,26.49,28.04,31.48,33.58,45.82,44.9,47.61,45.45,70.13,67.44,WORTH
Capital Work in Progress,,,,,,,,,,,WORTH
Investments,,,,,2.0,3.04,3.11,4.76,7.13,8.79,WORTH
Other Assets,11.16,16.74,23.01,27.97,37.9,27.77,44.47,47.8,45.49,60.1,WORTH
Total,37.65,44.78,54.49,61.55,85.72,75.71,95.19,98.01,122.75,136.33,WORTH
Receivables,4.67,7.4,10.34,10.29,14.98,14.34,15.15,17.28,17.34,24.16,WORTH
Inventory,2.32,4.32,5.73,7.41,8.21,9.24,12.67,12.54,11.87,12.77,WORTH
Cash & Bank,0.9,0.68,0.63,0.08,1.11,0.06,12.2,11.76,11.21,21.39,WORTH
No. of Equity Shares,3500000.0,3500000.0,5750000.0,5750000.0,5750000.0,11500000.0,15751000.0,15751000.0,15751000.0,15751000.0,WORTH
New Bonus Shares,,,,,,,,,,,WORTH
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,WORTH
