Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,177.24,297.43,265.52,238.4,227.91,275.61,281.3,271.63,MANAKALUCO
Raw Material Cost,,,144.8,258.18,219.11,203.91,166.31,202.29,192.22,197.89,MANAKALUCO
Change in Inventory,,,2.62,7.74,-1.52,12.07,0.59,1.32,7.93,8.26,MANAKALUCO
Power and Fuel,,,9.48,12.31,12.51,12.66,16.11,18.67,23.33,19.64,MANAKALUCO
Other Mfr. Exp,,,5.41,11.02,10.06,12.25,14.08,14.3,20.38,21.17,MANAKALUCO
Employee Cost,,,2.69,5.64,5.97,7.11,8.24,10.52,12.68,11.19,MANAKALUCO
Selling and admin,,,5.37,7.35,6.05,6.47,7.51,10.43,14.18,14.44,MANAKALUCO
Other Expenses,,,1.41,6.28,4.68,3.99,4.09,4.67,6.69,4.96,MANAKALUCO
Other Income,,,0.91,0.62,0.18,2.63,1.83,2.0,3.22,4.11,MANAKALUCO
Depreciation,,,3.33,6.04,5.34,5.21,5.03,4.97,5.44,5.92,MANAKALUCO
Interest,,,3.81,6.36,6.86,7.1,6.9,9.05,12.41,12.79,MANAKALUCO
Profit before tax,,,4.47,-7.39,-6.4,-5.6,2.06,4.03,5.12,-4.0,MANAKALUCO
Tax,,,1.96,-1.14,-1.36,-0.25,0.82,-3.3,-0.72,-0.83,MANAKALUCO
Net profit,,,2.51,-6.24,-5.04,-5.35,1.24,7.33,5.84,-3.16,MANAKALUCO
