Report Date,Unnamed: 1,Unnamed: 2,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,73.4,50.58,24.46,53.6,54.81,67.0,55.3,92.55,MARINE
Expenses,,,70.26,43.89,26.41,43.52,49.4,57.9,52.74,87.26,MARINE
Other Income,,,1.74,2.95,0.36,1.04,0.94,1.25,1.0,2.25,MARINE
Depreciation,,,2.07,2.1,1.91,1.92,1.89,1.92,1.75,1.94,MARINE
Interest,,,2.03,2.32,1.43,2.11,1.96,2.23,1.58,1.56,MARINE
Profit before tax,,,0.78,5.22,-4.93,7.09,2.5,6.2,0.23,4.04,MARINE
Tax,,,0.11,1.12,0.11,0.53,0.74,1.65,0.18,0.86,MARINE
Net profit,,,0.68,4.1,-5.04,6.56,1.77,4.55,0.05,3.18,MARINE
Operating Profit,,,3.14,6.69,-1.95,10.08,5.41,9.1,2.56,5.29,MARINE
