Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2020-06-30 00:00:00,2020-09-30 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,,,,841.52,1381.5,1958.89,1623.17,1622.65,NUVOCO
Expenses,,,,,,718.62,1079.73,1586.25,1284.52,1378.12,NUVOCO
Other Income,,,,,,8.47,23.3,28.1,22.73,29.5,NUVOCO
Depreciation,,,,,,132.69,139.97,155.94,146.11,164.11,NUVOCO
Interest,,,,,,141.33,131.26,112.99,109.47,102.4,NUVOCO
Profit before tax,,,,,,-142.65,53.84,131.81,105.8,7.52,NUVOCO
Tax,,,,,,-51.27,20.57,98.87,36.73,1.96,NUVOCO
Net profit,,,,,,-91.38,33.27,32.94,69.07,5.56,NUVOCO
Operating Profit,,,,,,122.9,301.77,372.64,338.65,244.53,NUVOCO
