Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,240.97,257.18,232.92,263.14,314.32,366.34,499.13,580.69,575.69,477.9,RPPINFRA
Raw Material Cost,52.27,71.39,67.95,53.79,78.76,95.2,162.76,135.31,155.81,122.22,RPPINFRA
Change in Inventory,,,,,,,,,,,RPPINFRA
Power and Fuel,,0.29,,0.54,,,,,,,RPPINFRA
Other Mfr. Exp,144.4,136.1,122.17,157.56,174.79,203.91,246.01,358.23,340.79,297.94,RPPINFRA
Employee Cost,6.55,8.03,6.13,5.33,5.53,6.37,8.98,9.42,13.41,10.94,RPPINFRA
Selling and admin,2.67,3.37,2.35,8.64,3.81,3.52,7.77,6.63,8.47,6.8,RPPINFRA
Other Expenses,2.61,1.07,2.46,2.46,4.7,7.11,7.55,9.1,2.19,3.8,RPPINFRA
Other Income,3.07,1.94,6.15,10.73,4.94,3.13,6.34,8.67,9.61,11.02,RPPINFRA
Depreciation,6.89,9.14,7.42,7.25,4.86,5.05,6.79,6.38,7.16,6.11,RPPINFRA
Interest,9.51,14.55,15.72,16.67,19.0,16.71,18.57,23.24,22.68,18.95,RPPINFRA
Profit before tax,19.14,15.18,14.87,21.63,27.81,31.6,47.04,41.05,34.79,22.16,RPPINFRA
Tax,5.29,4.31,3.18,4.36,7.14,7.69,33.56,16.7,15.49,6.63,RPPINFRA
Net profit,13.85,10.87,11.69,17.27,20.67,23.91,13.48,24.35,19.3,15.53,RPPINFRA
