Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,1971.0,2433.62,2850.31,2982.9,2933.27,2986.63,2939.76,2960.58,2771.03,2326.02,RSWM
Raw Material Cost,1324.85,1499.54,1734.17,1783.9,1626.01,1750.45,1736.44,1712.67,1566.82,1217.99,RSWM
Change in Inventory,22.98,54.64,-17.6,-4.37,4.85,56.36,37.72,-53.07,20.64,-82.25,RSWM
Power and Fuel,179.54,230.87,224.69,268.42,289.83,302.44,340.78,356.86,338.7,258.04,RSWM
Other Mfr. Exp,91.65,116.9,140.66,156.69,125.32,124.1,114.2,113.2,121.22,99.3,RSWM
Employee Cost,165.5,208.03,239.42,284.35,323.05,355.28,368.03,357.37,370.77,312.96,RSWM
Selling and admin,92.12,107.69,122.16,133.6,160.97,166.8,175.13,173.91,182.07,162.16,RSWM
Other Expenses,0.54,-3.1,7.71,5.69,14.61,17.64,16.0,14.7,27.69,17.76,RSWM
Other Income,21.21,2.84,24.88,31.57,24.37,31.59,36.19,31.21,79.33,39.41,RSWM
Depreciation,89.1,108.45,110.69,135.27,149.27,132.17,124.47,123.28,131.67,127.68,RSWM
Interest,104.04,121.29,121.76,125.22,125.9,110.36,117.29,119.52,108.51,83.03,RSWM
Profit before tax,-32.15,101.43,156.33,116.96,147.53,115.34,21.33,-32.79,23.55,4.26,RSWM
Tax,-10.36,33.56,57.54,32.05,40.58,14.37,6.83,-8.52,0.89,-17.36,RSWM
Net profit,-21.79,67.87,98.8,84.91,106.95,100.97,14.5,-24.27,22.66,21.61,RSWM
