Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,2.01,2.01,2.01,2.01,2.01,4.07,4.07,10.18,10.18,TOUCHWOOD
Reserves,,0.61,0.6,-0.16,-0.14,0.79,4.74,7.8,2.1,3.33,TOUCHWOOD
Borrowings,,0.11,0.24,0.33,0.81,0.7,0.78,0.73,0.4,0.66,TOUCHWOOD
Other Liabilities,,1.1,1.31,2.25,4.13,4.62,5.91,8.73,6.16,3.74,TOUCHWOOD
Total,,3.83,4.16,4.43,6.81,8.12,15.5,21.33,18.84,17.91,TOUCHWOOD
Net Block,,1.98,2.13,1.19,1.41,2.71,3.58,3.4,2.8,2.73,TOUCHWOOD
Capital Work in Progress,,,,,,,,,,0.17,TOUCHWOOD
Investments,,,,0.45,0.6,0.53,0.46,0.55,,,TOUCHWOOD
Other Assets,,1.85,2.03,2.79,4.8,4.88,11.46,17.38,16.04,15.01,TOUCHWOOD
Total,,3.83,4.16,4.43,6.81,8.12,15.5,21.33,18.84,17.91,TOUCHWOOD
Receivables,,0.68,0.49,0.37,0.4,1.62,4.11,8.48,6.74,6.91,TOUCHWOOD
Inventory,,0.06,0.06,0.06,,,,,,,TOUCHWOOD
Cash & Bank,,0.24,0.21,1.08,1.35,0.25,4.22,4.12,4.42,4.42,TOUCHWOOD
No. of Equity Shares,,2013000.0,2013000.0,2013000.0,2013000.0,2013000.0,4072498.0,4072498.0,10181245.0,10181245.0,TOUCHWOOD
New Bonus Shares,,,,,,,,,6108747.0,,TOUCHWOOD
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,TOUCHWOOD
