Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Cash from Operating Activity,,,,,,,,76.56,108.66,127.84,VIJAYA
Cash from Investing Activity,,,,,,,,-91.04,-34.31,-128.82,VIJAYA
Cash from Financing Activity,,,,,,,,7.83,-28.08,-48.19,VIJAYA
Net Cash Flow,,,,,,,,-6.65,46.27,-49.17,VIJAYA
