Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,24.45,24.52,24.56,25.06,25.17,25.38,25.62,25.62,25.62,25.62,MINDTECK
Reserves,118.16,120.35,129.48,141.38,146.84,151.29,151.34,156.19,94.46,103.21,MINDTECK
Borrowings,,3.13,,,,1.01,0.01,,12.05,7.44,MINDTECK
Other Liabilities,9.6,6.98,13.77,20.8,22.17,17.5,26.2,31.25,24.29,21.05,MINDTECK
Total,152.21,154.98,167.81,187.24,194.18,195.18,203.17,213.06,156.42,157.32,MINDTECK
Net Block,1.98,2.3,4.08,3.77,2.89,2.18,9.32,13.06,22.25,9.08,MINDTECK
Capital Work in Progress,,,,,,0.37,,,,,MINDTECK
Investments,123.13,123.13,123.13,123.13,123.13,123.47,131.79,137.35,67.67,67.24,MINDTECK
Other Assets,27.1,29.55,40.6,60.34,68.16,69.16,62.06,62.65,66.5,81.0,MINDTECK
Total,152.21,154.98,167.81,187.24,194.18,195.18,203.17,213.06,156.42,157.32,MINDTECK
Receivables,9.39,10.08,10.55,18.64,14.38,14.7,18.95,25.98,19.56,19.51,MINDTECK
Inventory,,,,,,,,,,,MINDTECK
Cash & Bank,2.62,2.68,10.04,17.64,30.41,25.46,12.99,3.21,13.64,31.31,MINDTECK
No. of Equity Shares,24452472.0,24516771.0,24564071.0,25062971.0,25173101.0,25383895.0,25621898.0,25621898.0,25621898.0,25621898.0,MINDTECK
New Bonus Shares,,,,,,,,,,,MINDTECK
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,MINDTECK
