Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,12.0,12.0,12.0,12.0,12.01,13.32,14.79,14.79,14.79,14.79,TAKE
Reserves,279.9,305.02,308.07,304.24,306.7,504.69,754.74,747.66,751.03,760.28,TAKE
Borrowings,36.47,11.03,,,72.77,,,,3.85,3.2,TAKE
Other Liabilities,38.78,22.09,11.29,8.8,22.35,16.03,7.15,11.81,6.62,8.0,TAKE
Total,367.15,350.14,331.36,325.04,413.83,534.04,776.68,774.26,776.29,786.27,TAKE
Net Block,12.0,7.43,2.05,0.63,0.48,4.6,3.86,3.07,5.97,4.43,TAKE
Capital Work in Progress,,,,,2.16,,,,,,TAKE
Investments,260.38,260.37,284.38,234.38,330.39,359.92,413.87,511.72,517.32,516.78,TAKE
Other Assets,94.77,82.34,44.93,90.03,80.8,169.52,358.95,259.47,253.0,265.06,TAKE
Total,367.15,350.14,331.36,325.04,413.83,534.04,776.68,774.26,776.29,786.27,TAKE
Receivables,4.4,6.54,2.59,3.02,3.73,3.18,0.91,6.43,7.0,2.37,TAKE
Inventory,0.06,0.04,,0.02,0.05,0.02,0.19,0.03,0.03,,TAKE
Cash & Bank,6.03,7.94,4.24,44.05,24.45,24.83,152.32,24.93,1.04,11.5,TAKE
No. of Equity Shares,120000000.0,120000000.0,120000000.0,120000000.0,120049750.0,133240000.0,147930000.0,147930000.0,147930000.0,147930000.0,TAKE
New Bonus Shares,,,,,,,,,,,TAKE
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,TAKE
