Report Date,Unnamed: 1,2019-03-31 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,27.64,15.32,16.04,2.86,28.49,30.59,52.19,44.14,53.38,NDRAUTO
Expenses,,27.35,16.07,16.15,4.64,25.74,28.35,49.04,41.47,50.03,NDRAUTO
Other Income,,0.62,1.7,1.95,1.42,1.79,2.8,2.29,1.49,2.4,NDRAUTO
Depreciation,,1.63,1.43,1.46,1.01,1.16,1.17,1.62,1.64,1.75,NDRAUTO
Interest,,0.01,0.01,0.11,0.01,,,0.11,0.1,0.1,NDRAUTO
Profit before tax,,-0.73,-0.49,0.27,-1.38,3.38,3.87,3.71,2.42,3.9,NDRAUTO
Tax,,-1.13,0.45,0.08,-0.02,0.48,1.0,1.16,0.49,0.8,NDRAUTO
Net profit,,0.4,-0.94,0.19,-1.36,2.9,2.86,2.55,1.93,3.1,NDRAUTO
Operating Profit,,0.29,-0.75,-0.11,-1.78,2.75,2.24,3.15,2.67,3.35,NDRAUTO
