Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,106.17,106.17,106.17,106.17,115.36,DEVYANI
Reserves,,,,,,149.38,203.0,164.57,-90.47,183.74,DEVYANI
Borrowings,,,,,,190.09,252.39,321.66,436.55,374.36,DEVYANI
Other Liabilities,,,,,,121.21,139.03,218.13,1066.71,923.97,DEVYANI
Total,,,,,,566.85,700.59,810.53,1518.96,1597.43,DEVYANI
Net Block,,,,,,277.66,335.49,399.48,1129.41,1208.78,DEVYANI
Capital Work in Progress,,,,,,5.79,2.64,4.54,6.3,7.24,DEVYANI
Investments,,,,,,121.71,158.04,133.37,98.46,87.62,DEVYANI
Other Assets,,,,,,161.69,204.42,273.14,284.79,293.79,DEVYANI
Total,,,,,,566.85,700.59,810.53,1518.96,1597.43,DEVYANI
Receivables,,,,,,24.76,29.24,42.57,32.82,38.71,DEVYANI
Inventory,,,,,,26.22,26.66,36.15,51.33,53.54,DEVYANI
Cash & Bank,,,,,,29.46,21.33,16.9,4.85,28.47,DEVYANI
No. of Equity Shares,,,,,,106166666.0,106166666.0,106166666.0,106166666.0,1153634990.0,DEVYANI
New Bonus Shares,,,,,,,,,,,DEVYANI
Face value,,,,,,10.0,10.0,10.0,10.0,1.0,DEVYANI
