Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2011-03-31 00:00:00,2012-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Cash from Operating Activity,,,,,,33.32,58.6,-17.9,44.54,34.51,KBCGLOBAL
Cash from Investing Activity,,,,,,-8.46,24.79,-21.17,-15.45,-2.32,KBCGLOBAL
Cash from Financing Activity,,,,,,-23.79,6.32,-46.34,-35.23,-32.19,KBCGLOBAL
Net Cash Flow,,,,,,1.07,89.71,-85.41,-6.14,,KBCGLOBAL
