Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,1.07,1.27,1.44,7.2,7.2,15.67,15.67,15.67,15.67,ICEMAKE
Reserves,,0.69,2.53,6.3,3.18,8.4,28.94,34.77,39.57,43.51,ICEMAKE
Borrowings,,7.78,6.86,13.11,14.21,15.05,7.76,2.07,14.03,7.52,ICEMAKE
Other Liabilities,,4.51,6.62,12.55,14.08,24.32,26.27,28.59,32.58,40.27,ICEMAKE
Total,,14.05,17.28,33.4,38.67,54.97,78.64,81.1,101.85,106.97,ICEMAKE
Net Block,,6.11,5.83,8.9,8.71,8.96,10.06,19.95,25.8,26.17,ICEMAKE
Capital Work in Progress,,,,,,,1.27,,,0.97,ICEMAKE
Investments,,,,,,2.26,3.36,3.36,3.36,3.36,ICEMAKE
Other Assets,,7.94,11.45,24.5,29.96,43.75,63.95,57.79,72.69,76.47,ICEMAKE
Total,,14.05,17.28,33.4,38.67,54.97,78.64,81.1,101.85,106.97,ICEMAKE
Receivables,,3.24,4.02,8.42,13.59,15.7,20.93,20.64,27.43,27.24,ICEMAKE
Inventory,,3.77,5.91,9.33,10.0,15.99,22.33,25.55,32.4,34.8,ICEMAKE
Cash & Bank,,0.67,0.43,4.99,4.25,7.41,16.29,3.77,1.52,1.19,ICEMAKE
No. of Equity Shares,,1066667.0,1267000.0,1439000.0,7195000.0,7195000.0,15672000.0,15672000.0,15672000.0,15672000.0,ICEMAKE
New Bonus Shares,,,,,5756000.0,,,,,,ICEMAKE
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,ICEMAKE
