Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,0.05,3392.62,3399.01,3404.07,4781.68,4809.9,5675.85,IDFCFIRSTB
Reserves,,,,-2.58,10236.61,11277.97,11852.46,13377.59,10532.7,12131.95,IDFCFIRSTB
Borrowings,,,,,65378.88,90470.41,105485.27,140462.4,122505.16,134474.51,IDFCFIRSTB
Other Liabilities,,,,2.59,4207.76,7012.27,5778.38,8563.19,11352.64,10861.57,IDFCFIRSTB
Total,,,,0.06,83215.87,112159.66,126520.18,167184.86,149200.4,163143.88,IDFCFIRSTB
Net Block,,,,,643.64,781.18,780.74,916.59,964.66,1201.15,IDFCFIRSTB
Capital Work in Progress,,,,,29.21,5.37,3.39,33.61,73.07,65.27,IDFCFIRSTB
Investments,,,,,29728.61,50471.7,61201.53,58475.39,45404.58,45411.74,IDFCFIRSTB
Other Assets,,,,0.06,52814.41,60901.41,64534.52,107759.27,102758.09,116465.72,IDFCFIRSTB
Total,,,,0.06,83215.87,112159.66,126520.18,167184.86,149200.4,163143.88,IDFCFIRSTB
Receivables,,,,,,,,,,,IDFCFIRSTB
Inventory,,,,,,,,,,,IDFCFIRSTB
Cash & Bank,,,,0.05,2903.91,5102.0,4891.8,9566.78,4190.79,5827.86,IDFCFIRSTB
No. of Equity Shares,,,,50000.0,3392623336.0,3399006184.0,3404074905.0,4781676412.0,4809903016.0,5675849855.0,IDFCFIRSTB
New Bonus Shares,,,,,,,,,,,IDFCFIRSTB
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,IDFCFIRSTB
