Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,11.25,11.25,12.61,12.61,12.61,12.61,12.61,12.61,12.04,12.04,SESHAPAPER
Reserves,299.36,350.63,371.52,380.38,408.36,569.38,688.95,855.15,985.85,1101.49,SESHAPAPER
Borrowings,219.7,433.81,389.47,328.31,301.24,170.72,149.21,96.93,10.21,7.78,SESHAPAPER
Other Liabilities,278.91,320.95,319.95,379.28,389.89,342.53,406.08,445.81,406.45,354.46,SESHAPAPER
Total,809.22,1116.64,1093.55,1100.58,1112.1,1095.24,1256.85,1410.5,1414.55,1475.77,SESHAPAPER
Net Block,450.03,712.38,666.14,648.39,625.03,637.2,672.65,671.86,674.59,734.36,SESHAPAPER
Capital Work in Progress,5.71,2.45,9.09,13.4,50.44,40.75,26.82,23.36,31.03,32.2,SESHAPAPER
Investments,23.23,22.76,31.99,33.53,37.61,83.96,98.59,95.25,84.27,125.51,SESHAPAPER
Other Assets,330.25,379.05,386.33,405.26,399.02,333.33,458.79,620.03,624.66,583.7,SESHAPAPER
Total,809.22,1116.64,1093.55,1100.58,1112.1,1095.24,1256.85,1410.5,1414.55,1475.77,SESHAPAPER
Receivables,100.2,99.1,120.45,123.52,129.25,105.51,106.45,79.25,80.83,81.54,SESHAPAPER
Inventory,86.2,87.13,112.29,134.42,114.07,128.97,157.78,134.57,169.44,227.25,SESHAPAPER
Cash & Bank,6.49,73.98,29.96,10.31,10.39,19.09,142.88,310.57,325.26,205.8,SESHAPAPER
No. of Equity Shares,11250000.0,11250000.0,12613628.0,12613628.0,12613628.0,12613628.0,12613628.0,12613628.0,63068140.0,63068140.0,SESHAPAPER
New Bonus Shares,,,,,,,,,,,SESHAPAPER
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,SESHAPAPER
