Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,0.05,4.34,32.5,32.5,32.5,46.5,46.5,46.5,46.5,ASTRON
Reserves,,,8.39,-3.23,2.86,12.67,79.56,103.61,116.93,126.61,ASTRON
Borrowings,,,32.11,72.31,78.36,89.2,74.86,56.7,61.1,45.1,ASTRON
Other Liabilities,,4.7,5.5,35.67,44.73,38.16,30.63,87.03,85.72,86.97,ASTRON
Total,,4.75,50.34,137.25,158.45,172.53,231.55,293.84,310.25,305.18,ASTRON
Net Block,,0.45,4.17,65.84,74.75,78.89,90.28,121.2,128.53,126.4,ASTRON
Capital Work in Progress,,0.75,36.18,1.08,,1.39,13.23,1.68,0.14,6.79,ASTRON
Investments,,,0.03,0.05,0.05,,0.18,4.0,4.24,5.66,ASTRON
Other Assets,,3.55,9.96,70.28,83.65,92.25,127.86,166.96,177.34,166.33,ASTRON
Total,,4.75,50.34,137.25,158.45,172.53,231.55,293.84,310.25,305.18,ASTRON
Receivables,,,,28.55,37.14,34.93,59.13,83.94,92.96,78.69,ASTRON
Inventory,,,2.1,34.16,35.29,42.36,32.73,56.79,47.49,44.45,ASTRON
Cash & Bank,,0.58,1.32,3.35,5.3,0.49,15.2,0.05,4.54,10.32,ASTRON
No. of Equity Shares,,50000.0,4341900.0,32500000.0,32500000.0,32500000.0,46500000.0,46500000.0,46500000.0,46500000.0,ASTRON
New Bonus Shares,,,,,,,,,,,ASTRON
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,ASTRON
