Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,21.22,21.22,21.22,21.22,ORIENTELEC
Reserves,,,,,,191.74,242.03,285.36,338.17,434.44,ORIENTELEC
Borrowings,,,,,,210.53,185.93,134.94,155.19,61.41,ORIENTELEC
Other Liabilities,,,,,,337.51,359.2,447.25,445.86,645.29,ORIENTELEC
Total,,,,,,739.78,808.38,888.77,960.44,1162.36,ORIENTELEC
Net Block,,,,,,108.96,105.69,116.57,190.0,185.89,ORIENTELEC
Capital Work in Progress,,,,,,0.46,4.66,4.3,10.31,11.31,ORIENTELEC
Investments,,,,,,,,,,,ORIENTELEC
Other Assets,,,,,,630.36,698.03,767.9,760.13,965.16,ORIENTELEC
Total,,,,,,739.78,808.38,888.77,960.44,1162.36,ORIENTELEC
Receivables,,,,,,361.26,386.36,392.35,363.73,355.18,ORIENTELEC
Inventory,,,,,,176.52,209.06,263.96,286.5,249.16,ORIENTELEC
Cash & Bank,,,,,,23.37,30.5,31.61,7.48,257.55,ORIENTELEC
No. of Equity Shares,,,,,,,212185502.0,212185502.0,212185502.0,212185502.0,ORIENTELEC
New Bonus Shares,,,,,,,,,,,ORIENTELEC
Face value,,,,,,1.0,1.0,1.0,1.0,1.0,ORIENTELEC
