Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,354.14,380.34,420.7,395.07,374.7,293.85,232.89,288.55,277.76,104.51,REPRO
Raw Material Cost,171.85,167.13,214.23,212.07,218.17,157.15,120.31,162.5,134.48,52.89,REPRO
Change in Inventory,-1.6,-1.33,5.07,-0.31,8.52,-11.87,-4.59,4.05,-10.15,-3.23,REPRO
Power and Fuel,6.91,7.86,6.87,7.27,7.88,6.09,3.43,4.78,5.05,3.35,REPRO
Other Mfr. Exp,13.71,28.45,33.13,37.53,34.18,34.63,28.7,28.64,23.89,9.88,REPRO
Employee Cost,34.42,36.75,40.28,45.41,44.01,35.53,32.01,29.19,25.83,22.2,REPRO
Selling and admin,45.46,53.6,53.89,44.44,48.16,19.08,16.9,21.26,26.3,10.67,REPRO
Other Expenses,22.54,15.48,9.39,3.64,7.64,8.28,4.35,2.65,9.94,5.86,REPRO
Other Income,3.69,1.71,4.94,12.37,6.9,6.5,31.28,0.54,0.9,0.67,REPRO
Depreciation,12.29,14.77,17.14,18.65,19.32,12.76,12.75,14.26,18.41,26.66,REPRO
Interest,12.32,15.11,18.7,11.86,18.75,15.02,12.4,10.92,9.96,14.46,REPRO
Profit before tax,36.73,41.57,37.08,26.26,-7.99,-0.06,28.73,18.94,14.65,-44.02,REPRO
Tax,0.69,3.13,7.37,6.51,,-1.99,-1.49,-4.52,-1.66,-2.13,REPRO
Net profit,36.04,38.44,29.71,19.75,-8.0,1.93,30.21,23.45,16.31,-41.88,REPRO
