Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,,4.53,4.53,4.53,VIJAYA
Reserves,,,,,,,,209.04,272.97,356.02,VIJAYA
Borrowings,,,,,,,,36.27,156.29,136.57,VIJAYA
Other Liabilities,,,,,,,,42.43,41.36,35.74,VIJAYA
Total,,,,,,,,292.27,475.15,532.86,VIJAYA
Net Block,,,,,,,,136.58,263.93,260.57,VIJAYA
Capital Work in Progress,,,,,,,,2.71,9.63,9.42,VIJAYA
Investments,,,,,,,,73.0,58.28,32.5,VIJAYA
Other Assets,,,,,,,,79.98,143.31,230.37,VIJAYA
Total,,,,,,,,292.27,475.15,532.86,VIJAYA
Receivables,,,,,,,,10.41,8.47,6.34,VIJAYA
Inventory,,,,,,,,2.01,2.69,2.5,VIJAYA
Cash & Bank,,,,,,,,52.23,113.66,188.55,VIJAYA
No. of Equity Shares,,,,,,,,4531819.0,4531819.0,45318190.0,VIJAYA
New Bonus Shares,,,,,,,,,2010000.0,20100000.0,VIJAYA
Face value,,,,,,,,10.0,10.0,1.0,VIJAYA
