Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,4.68,4.68,4.68,4.68,4.68,4.68,5.62,5.62,5.62,5.62,BEARDSELL
Reserves,25.43,27.83,28.57,27.85,30.46,36.4,35.48,34.7,34.93,34.28,BEARDSELL
Borrowings,10.36,12.94,26.11,32.3,29.89,30.2,35.58,36.01,34.2,31.16,BEARDSELL
Other Liabilities,26.96,24.66,24.64,30.0,36.95,34.92,34.1,37.33,35.67,40.16,BEARDSELL
Total,67.43,70.11,84.0,94.83,101.98,106.2,110.78,113.66,110.42,111.22,BEARDSELL
Net Block,26.84,32.85,39.95,39.75,40.29,40.13,35.33,34.02,36.95,34.2,BEARDSELL
Capital Work in Progress,2.06,0.93,1.89,3.39,1.55,0.38,1.35,1.86,1.12,0.51,BEARDSELL
Investments,0.33,0.26,0.26,1.38,1.59,1.6,1.81,1.84,1.9,5.37,BEARDSELL
Other Assets,38.2,36.07,41.9,50.31,58.55,64.09,72.29,75.94,70.45,71.14,BEARDSELL
Total,67.43,70.11,84.0,94.83,101.98,106.2,110.78,113.66,110.42,111.22,BEARDSELL
Receivables,21.01,18.95,20.83,23.04,25.23,35.36,41.61,45.03,38.68,36.28,BEARDSELL
Inventory,7.0,7.62,8.03,9.02,8.27,8.67,9.47,10.0,10.95,12.45,BEARDSELL
Cash & Bank,6.46,4.58,6.82,5.03,4.73,4.17,4.56,3.63,1.35,2.22,BEARDSELL
No. of Equity Shares,4683168.0,4683200.0,4683168.0,4683168.0,4683168.0,4683168.0,28099008.0,28099008.0,28099008.0,28099008.0,BEARDSELL
New Bonus Shares,,,,,,,,,,,BEARDSELL
Face value,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0,BEARDSELL
