Report Date,Unnamed: 1,Unnamed: 2,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,258.14,367.22,247.63,265.45,394.73,429.48,304.04,348.46,RAILTEL
Expenses,,,183.34,262.11,189.77,194.62,269.66,355.97,244.52,238.91,RAILTEL
Other Income,,,6.25,-38.88,5.74,8.56,5.98,8.14,7.76,21.33,RAILTEL
Depreciation,,,27.48,36.9,40.86,40.87,37.56,39.96,39.08,40.08,RAILTEL
Interest,,,1.02,0.91,0.68,0.69,-0.21,0.67,0.77,0.71,RAILTEL
Profit before tax,,,52.55,28.42,22.06,37.83,93.7,41.02,27.43,90.09,RAILTEL
Tax,,,9.84,7.42,5.92,10.1,24.36,13.82,6.59,23.28,RAILTEL
Net profit,,,42.71,21.0,16.14,27.73,69.34,27.2,20.84,66.81,RAILTEL
Operating Profit,,,74.8,105.11,57.86,70.83,125.07,73.51,59.52,109.55,RAILTEL
