Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,69.95,71.28,70.5,52.51,55.76,51.88,45.7,64.59,14.11,15.78,COMPUSOFT
Raw Material Cost,,,,,,,1.9,31.28,,0.17,COMPUSOFT
Change in Inventory,,,,,,,1.9,-1.9,,0.15,COMPUSOFT
Power and Fuel,0.22,0.2,0.39,0.52,0.24,0.23,0.22,0.23,0.2,0.19,COMPUSOFT
Other Mfr. Exp,22.74,22.68,26.39,11.26,12.36,11.57,11.56,12.52,4.92,7.54,COMPUSOFT
Employee Cost,2.04,2.57,3.52,4.36,4.47,5.13,5.09,4.55,6.19,7.81,COMPUSOFT
Selling and admin,1.77,1.78,1.62,1.37,1.51,1.59,1.66,1.8,1.86,1.99,COMPUSOFT
Other Expenses,2.8,10.38,7.76,8.25,10.11,16.53,13.63,0.42,0.19,0.18,COMPUSOFT
Other Income,1.83,2.15,3.36,0.37,1.07,2.26,3.78,5.48,3.32,7.56,COMPUSOFT
Depreciation,24.63,18.43,15.02,14.28,14.56,14.69,12.02,9.05,1.39,1.49,COMPUSOFT
Interest,5.29,4.44,3.38,4.96,3.43,2.31,1.03,1.99,0.95,0.55,COMPUSOFT
Profit before tax,12.29,12.95,15.78,7.88,10.15,2.09,4.27,6.33,1.73,3.57,COMPUSOFT
Tax,1.2,4.26,5.54,2.31,3.18,0.35,1.31,0.9,0.65,1.02,COMPUSOFT
Net profit,11.09,8.69,10.24,5.59,6.97,1.74,2.96,5.43,1.08,2.55,COMPUSOFT
