Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,1.31,1.31,1.31,7.15,12.79,14.14,AWHCL
Reserves,,,,,-73.86,-65.82,52.25,64.99,45.51,137.07,AWHCL
Borrowings,,,,,40.46,38.57,59.35,54.0,36.58,32.15,AWHCL
Other Liabilities,,,,,155.69,159.56,20.89,24.32,47.73,52.75,AWHCL
Total,,,,,123.6,133.62,133.8,150.46,142.61,236.11,AWHCL
Net Block,,,,,13.63,14.61,14.43,11.5,9.27,7.19,AWHCL
Capital Work in Progress,,,,,,3.24,,,,0.05,AWHCL
Investments,,,,,36.17,36.17,36.17,35.55,35.55,75.55,AWHCL
Other Assets,,,,,73.8,79.6,83.2,103.41,97.79,153.32,AWHCL
Total,,,,,123.6,133.62,133.8,150.46,142.61,236.11,AWHCL
Receivables,,,,,42.72,55.51,42.42,16.3,26.74,35.72,AWHCL
Inventory,,,,,,,,,,,AWHCL
Cash & Bank,,,,,4.07,0.56,2.21,2.3,2.33,3.87,AWHCL
No. of Equity Shares,,,,,1307580.0,1307580.0,1307580.0,14302710.0,25588758.0,28287170.0,AWHCL
New Bonus Shares,,,,,,,,11442168.0,,,AWHCL
Face value,,,,,10.0,10.0,10.0,5.0,5.0,5.0,AWHCL
