Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,247.14,293.22,351.88,345.51,171.42,70.7,57.39,61.04,59.96,35.38,RSSOFTWARE
Raw Material Cost,,,,,4.47,10.13,0.91,7.89,2.4,1.99,RSSOFTWARE
Change in Inventory,,,,,,,,,,,RSSOFTWARE
Power and Fuel,1.26,1.7,1.74,1.71,1.29,1.36,1.36,1.28,1.25,0.9,RSSOFTWARE
Other Mfr. Exp,42.96,4.51,59.85,51.45,21.9,5.76,11.19,9.02,10.58,5.52,RSSOFTWARE
Employee Cost,135.89,210.41,184.56,169.94,116.09,66.11,69.83,59.97,57.28,32.59,RSSOFTWARE
Selling and admin,30.05,29.51,31.29,31.64,26.87,21.63,17.32,14.82,13.8,6.41,RSSOFTWARE
Other Expenses,,0.16,0.57,0.19,0.16,-0.02,-0.01,0.88,0.85,0.01,RSSOFTWARE
Other Income,0.96,4.38,7.07,11.58,15.48,12.36,8.56,5.77,11.95,1.77,RSSOFTWARE
Depreciation,4.18,3.47,5.48,5.55,4.17,3.96,2.09,2.21,3.03,3.81,RSSOFTWARE
Interest,0.44,0.92,0.86,0.37,0.45,0.06,0.25,0.53,18.9,0.4,RSSOFTWARE
Profit before tax,33.32,46.92,74.6,96.24,11.5,-25.93,-36.99,-29.79,-36.18,-14.48,RSSOFTWARE
Tax,5.89,11.48,23.43,31.31,3.55,-9.64,-11.26,-5.92,26.5,,RSSOFTWARE
Net profit,27.43,35.44,51.18,64.94,7.95,-16.3,-25.73,-23.88,-62.68,-14.47,RSSOFTWARE
