Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,,,,,,243.48,57.67,39.55,VINEETLAB
Expenses,,,,,,,,235.33,54.94,37.74,VINEETLAB
Other Income,,,,,,,,0.39,0.03,0.16,VINEETLAB
Depreciation,,,,,,,,1.81,0.49,0.5,VINEETLAB
Interest,,,,,,,,2.67,0.54,0.49,VINEETLAB
Profit before tax,,,,,,,,4.06,1.73,0.98,VINEETLAB
Tax,,,,,,,,2.28,0.45,0.25,VINEETLAB
Net profit,,,,,,,,1.78,1.28,0.72,VINEETLAB
Operating Profit,,,,,,,,8.15,2.73,1.81,VINEETLAB
