,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,12.15,12.35,11.75,12.0,93437,TMRVL
1,2021-01-04 00:00:00+05:30,12.2,12.25,11.8,12.0,50031,TMRVL
2,2021-01-05 00:00:00+05:30,12.0,12.1,11.55,11.75,73475,TMRVL
3,2021-01-06 00:00:00+05:30,11.55,12.15,11.55,12.05,52444,TMRVL
4,2021-01-07 00:00:00+05:30,12.3,12.4,11.45,11.6,114725,TMRVL
5,2021-01-08 00:00:00+05:30,11.85,11.9,11.5,11.6,50261,TMRVL
6,2021-01-11 00:00:00+05:30,11.4,11.8,11.05,11.2,44049,TMRVL
7,2021-01-12 00:00:00+05:30,11.25,11.75,10.85,11.75,52443,TMRVL
8,2021-01-13 00:00:00+05:30,12.25,12.25,11.7,11.9,97774,TMRVL
9,2021-01-14 00:00:00+05:30,12.3,12.3,11.7,11.8,57574,TMRVL
10,2021-01-15 00:00:00+05:30,12.2,12.2,11.3,11.4,47357,TMRVL
11,2021-01-18 00:00:00+05:30,11.4,11.95,10.95,11.95,91337,TMRVL
12,2021-01-19 00:00:00+05:30,12.1,12.4,11.8,12.15,67108,TMRVL
13,2021-01-20 00:00:00+05:30,12.5,12.5,12.0,12.15,88239,TMRVL
14,2021-01-21 00:00:00+05:30,12.15,12.4,11.8,12.1,62221,TMRVL
15,2021-01-22 00:00:00+05:30,12.2,12.45,11.9,12.0,39836,TMRVL
16,2021-01-25 00:00:00+05:30,12.25,12.3,11.55,11.8,29025,TMRVL
17,2021-01-27 00:00:00+05:30,11.9,11.9,11.25,11.35,54140,TMRVL
18,2021-01-28 00:00:00+05:30,11.35,11.35,11.0,11.25,25654,TMRVL
19,2021-01-29 00:00:00+05:30,11.5,11.8,11.25,11.8,29513,TMRVL
20,2021-02-01 00:00:00+05:30,12.2,12.35,11.85,12.1,61460,TMRVL
21,2021-02-02 00:00:00+05:30,12.65,12.65,12.05,12.25,68660,TMRVL
22,2021-02-03 00:00:00+05:30,12.6,12.6,11.95,12.1,33166,TMRVL
23,2021-02-04 00:00:00+05:30,11.8,12.4,11.8,12.25,62056,TMRVL
24,2021-02-05 00:00:00+05:30,12.0,12.5,11.9,12.15,39079,TMRVL
25,2021-02-08 00:00:00+05:30,12.4,12.4,12.05,12.2,47254,TMRVL
26,2021-02-09 00:00:00+05:30,12.45,12.6,12.05,12.15,110565,TMRVL
27,2021-02-10 00:00:00+05:30,12.05,12.4,11.8,11.9,43440,TMRVL
28,2021-02-11 00:00:00+05:30,12.2,12.2,11.75,11.95,37043,TMRVL
29,2021-02-12 00:00:00+05:30,12.05,12.05,11.75,11.85,35834,TMRVL
30,2021-02-15 00:00:00+05:30,12.15,12.35,11.55,11.8,116110,TMRVL
31,2021-02-16 00:00:00+05:30,12.2,12.2,11.4,11.6,81197,TMRVL
32,2021-02-17 00:00:00+05:30,11.85,11.85,11.45,11.65,42794,TMRVL
33,2021-02-18 00:00:00+05:30,11.65,12.05,11.65,11.9,65115,TMRVL
34,2021-02-19 00:00:00+05:30,12.15,12.2,11.5,11.65,66938,TMRVL
