Report Date,2019-03-31 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,498.97,429.23,395.9,430.76,302.48,458.67,549.01,761.36,330.6,761.01,PRINCEPIPE
Expenses,440.66,364.15,342.56,373.13,270.86,378.4,446.07,614.56,289.35,638.3,PRINCEPIPE
Other Income,1.9,0.59,0.77,5.17,5.2,3.28,4.63,4.49,2.2,1.47,PRINCEPIPE
Depreciation,11.33,12.44,13.33,14.39,14.01,15.23,15.08,15.09,15.92,16.86,PRINCEPIPE
Interest,8.94,8.56,8.89,8.21,6.81,5.37,3.52,4.97,2.7,3.75,PRINCEPIPE
Profit before tax,39.94,44.67,31.89,40.2,16.0,62.95,88.97,131.23,24.83,103.57,PRINCEPIPE
Tax,10.04,11.26,7.62,11.93,4.74,16.38,22.18,34.01,7.07,27.48,PRINCEPIPE
Net profit,29.9,33.41,24.28,28.28,11.25,46.57,66.79,97.22,17.75,76.09,PRINCEPIPE
Operating Profit,58.31,65.08,53.34,57.63,31.62,80.27,102.94,146.8,41.25,122.71,PRINCEPIPE
