Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,0.05,0.05,10.07,10.07,10.07,14.09,14.09,MAGADSUGAR
Reserves,,,,,-0.02,391.13,413.91,446.39,522.22,543.55,MAGADSUGAR
Borrowings,,,,,,462.46,518.97,538.73,641.25,631.07,MAGADSUGAR
Other Liabilities,,,,,,247.32,203.99,391.23,366.76,241.02,MAGADSUGAR
Total,,,,0.05,0.03,1110.98,1146.94,1386.42,1544.32,1429.73,MAGADSUGAR
Net Block,,,,,,649.29,653.02,656.72,670.46,690.73,MAGADSUGAR
Capital Work in Progress,,,,,,1.15,2.04,2.28,6.64,14.6,MAGADSUGAR
Investments,,,,,,0.01,0.01,0.01,0.01,0.01,MAGADSUGAR
Other Assets,,,,0.05,0.03,460.53,491.87,727.41,867.21,724.39,MAGADSUGAR
Total,,,,0.05,0.03,1110.98,1146.94,1386.42,1544.32,1429.73,MAGADSUGAR
Receivables,,,,,,11.58,19.02,21.09,8.79,12.06,MAGADSUGAR
Inventory,,,,,,426.8,454.0,650.72,769.66,657.59,MAGADSUGAR
Cash & Bank,,,,0.05,0.04,1.45,0.77,0.55,0.73,0.59,MAGADSUGAR
No. of Equity Shares,,,,50000.0,50000.0,10065450.0,10065450.0,10065450.0,14091630.0,14091630.0,MAGADSUGAR
New Bonus Shares,,,,,,,,,,,MAGADSUGAR
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,MAGADSUGAR
