Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,0.05,12.07,12.07,12.07,12.07,12.07,12.07,12.07,GREENLAM
Reserves,,,-0.01,214.99,252.42,291.93,345.73,404.11,478.55,546.33,GREENLAM
Borrowings,,,,267.54,254.43,238.24,203.95,237.7,250.5,222.39,GREENLAM
Other Liabilities,,,,219.19,248.42,187.82,210.9,219.01,292.11,336.32,GREENLAM
Total,,,0.04,713.79,767.34,730.06,772.65,872.89,1033.23,1117.11,GREENLAM
Net Block,,,,311.4,338.33,312.41,321.25,322.64,411.13,398.83,GREENLAM
Capital Work in Progress,,,,9.21,3.95,5.36,1.0,21.72,15.69,17.05,GREENLAM
Investments,,,,17.45,24.11,24.11,24.11,24.12,70.57,176.97,GREENLAM
Other Assets,,,0.04,375.73,400.95,388.18,426.29,504.41,535.84,524.26,GREENLAM
Total,,,0.04,713.79,767.34,730.06,772.65,872.89,1033.23,1117.11,GREENLAM
Receivables,,,,118.08,125.95,119.8,135.6,139.07,120.59,137.08,GREENLAM
Inventory,,,,188.1,207.38,205.58,241.0,287.97,333.11,330.94,GREENLAM
Cash & Bank,,,0.03,2.9,0.98,5.15,5.88,6.43,25.29,10.89,GREENLAM
No. of Equity Shares,,,100000.0,24136374.0,24136374.0,24136374.0,24136374.0,24136374.0,24136374.0,24136374.0,GREENLAM
New Bonus Shares,,,,,,,,,,,GREENLAM
Face value,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,GREENLAM
