Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,20.63,28.38,34.78,32.36,33.81,35.29,44.4,44.07,44.28,HINDCON
Raw Material Cost,,16.61,23.69,28.62,23.37,23.42,23.95,34.24,33.42,33.68,HINDCON
Change in Inventory,,-0.11,0.14,-0.02,0.04,-0.02,0.02,0.06,-0.1,-0.01,HINDCON
Power and Fuel,,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.05,0.04,HINDCON
Other Mfr. Exp,,1.98,2.73,0.71,0.32,0.46,0.58,0.49,0.89,0.58,HINDCON
Employee Cost,,0.69,1.02,1.42,2.58,3.04,3.55,3.45,3.33,2.96,HINDCON
Selling and admin,,1.89,2.29,2.35,3.5,2.4,2.11,2.46,2.09,1.89,HINDCON
Other Expenses,,-0.08,0.03,0.16,0.49,0.82,0.96,0.01,0.62,0.56,HINDCON
Other Income,,1.44,2.11,0.06,0.1,0.3,1.65,0.46,0.84,1.88,HINDCON
Depreciation,,0.12,0.12,0.27,0.21,0.18,0.14,0.13,0.14,0.18,HINDCON
Interest,,0.25,0.3,0.75,0.68,0.67,0.52,0.23,0.09,0.08,HINDCON
Profit before tax,,0.47,0.41,0.5,1.31,3.07,5.11,3.87,4.18,6.18,HINDCON
Tax,,0.14,0.12,0.16,0.45,1.02,1.14,1.08,1.12,1.76,HINDCON
Net profit,,0.32,0.28,0.34,0.86,2.06,3.98,2.79,3.06,4.42,HINDCON
