Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,0.13,0.13,0.13,4.11,4.11,4.11,10.28,BANKA
Reserves,,,,2.37,2.69,3.81,13.73,17.74,23.92,19.75,BANKA
Borrowings,,,,1.89,3.9,4.45,4.27,2.14,11.44,11.69,BANKA
Other Liabilities,,,,1.4,2.85,2.66,1.64,4.29,7.3,4.66,BANKA
Total,,,,5.79,9.57,11.05,23.75,28.28,46.77,46.38,BANKA
Net Block,,,,1.5,1.43,1.45,1.75,2.77,4.02,5.09,BANKA
Capital Work in Progress,,,,0.13,0.14,0.19,,0.34,,,BANKA
Investments,,,,,,,,,,0.03,BANKA
Other Assets,,,,4.16,8.0,9.41,22.0,25.17,42.75,41.26,BANKA
Total,,,,5.79,9.57,11.05,23.75,28.28,46.77,46.38,BANKA
Receivables,,,,1.5,5.73,6.73,9.26,9.71,14.97,11.68,BANKA
Inventory,,,,1.95,1.3,0.76,1.44,2.42,3.76,8.03,BANKA
Cash & Bank,,,,0.08,0.1,0.45,7.93,3.72,4.33,6.47,BANKA
No. of Equity Shares,,,,125600.0,125602.0,125602.0,4112448.0,4112448.0,4112448.0,10281120.0,BANKA
New Bonus Shares,,,,,,,,,,,BANKA
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,BANKA
