Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2010-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,146.34,187.34,187.34,187.34,187.34,187.34,MIDHANI
Reserves,,,,,127.59,517.0,601.7,647.37,771.05,885.29,MIDHANI
Borrowings,,,,,44.37,21.29,92.85,106.66,133.62,160.44,MIDHANI
Other Liabilities,,,,,513.59,375.41,483.31,883.3,1305.98,1227.66,MIDHANI
Total,,,,,831.89,1101.04,1365.2,1824.67,2397.99,2460.73,MIDHANI
Net Block,,,,,36.77,327.38,344.43,424.95,440.75,428.92,MIDHANI
Capital Work in Progress,,,,,15.5,6.21,64.99,175.05,404.82,548.74,MIDHANI
Investments,,,,,2.1,2.1,2.1,2.1,22.1,22.1,MIDHANI
Other Assets,,,,,777.52,765.35,953.68,1222.57,1530.32,1460.97,MIDHANI
Total,,,,,831.89,1101.04,1365.2,1824.67,2397.99,2460.73,MIDHANI
Receivables,,,,,107.54,288.53,413.43,352.24,297.4,386.14,MIDHANI
Inventory,,,,,320.46,206.04,241.38,508.84,910.5,800.84,MIDHANI
Cash & Bank,,,,,240.33,207.93,180.08,198.0,110.9,93.95,MIDHANI
No. of Equity Shares,,,,,1463400.0,1873400.0,187340000.0,187340000.0,187340000.0,187340000.0,MIDHANI
New Bonus Shares,,,,,,,,,,,MIDHANI
Face value,,,,,1000.0,1000.0,10.0,10.0,10.0,10.0,MIDHANI
