Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2020-06-30 00:00:00,2020-09-30 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,,,,17.29,24.35,48.04,35.42,55.47,KPIGLOBAL
Expenses,,,,,,8.06,10.74,17.72,14.95,32.0,KPIGLOBAL
Other Income,,,,,,0.02,0.1,0.15,0.28,0.26,KPIGLOBAL
Depreciation,,,,,,3.82,3.85,4.65,4.58,1.57,KPIGLOBAL
Interest,,,,,,5.19,6.73,7.6,6.96,7.57,KPIGLOBAL
Profit before tax,,,,,,0.24,3.13,18.22,9.21,14.59,KPIGLOBAL
Tax,,,,,,1.69,1.7,0.92,1.19,2.69,KPIGLOBAL
Net profit,,,,,,-1.45,1.44,17.3,8.02,11.9,KPIGLOBAL
Operating Profit,,,,,,9.23,13.61,30.32,20.47,23.47,KPIGLOBAL
