Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,9.37,10.23,51.16,51.15,60.19,60.19,60.19,60.19,SANDHAR
Reserves,,,186.92,239.82,209.62,238.57,563.39,648.46,697.36,746.55,SANDHAR
Borrowings,,,246.23,283.98,281.87,329.17,329.46,114.22,53.68,61.61,SANDHAR
Other Liabilities,,,178.85,216.4,221.41,227.06,369.28,357.1,231.14,378.5,SANDHAR
Total,,,621.37,750.43,764.06,845.95,1322.32,1179.97,1042.37,1246.85,SANDHAR
Net Block,,,349.17,403.89,427.37,476.09,533.43,589.5,601.38,601.83,SANDHAR
Capital Work in Progress,,,22.8,22.07,39.93,21.5,63.6,28.0,22.1,7.36,SANDHAR
Investments,,,31.97,31.66,39.89,34.97,49.28,67.44,91.24,114.39,SANDHAR
Other Assets,,,217.43,292.81,256.87,313.39,676.01,495.03,327.65,523.27,SANDHAR
Total,,,621.37,750.43,764.06,845.95,1322.32,1179.97,1042.37,1246.85,SANDHAR
Receivables,,,117.81,162.35,134.67,171.53,234.8,300.68,160.84,312.86,SANDHAR
Inventory,,,57.38,92.91,88.99,95.96,122.21,134.8,121.25,134.22,SANDHAR
Cash & Bank,,,1.16,4.39,1.81,3.44,254.49,1.64,3.79,1.69,SANDHAR
No. of Equity Shares,,,46868850.0,51154564.0,51154564.0,51154600.0,60191000.0,60191000.0,60191000.0,60191000.0,SANDHAR
New Bonus Shares,,,,,,,,,,,SANDHAR
Face value,,,2.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,SANDHAR
