Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,28.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,CINELINE
Reserves,112.36,56.69,59.79,63.74,69.51,81.62,90.5,100.35,107.99,115.93,CINELINE
Borrowings,156.32,34.99,60.65,59.71,126.12,132.68,129.09,157.92,171.38,185.95,CINELINE
Other Liabilities,51.88,11.23,13.47,16.73,20.78,12.9,13.88,15.95,31.81,18.05,CINELINE
Total,348.56,116.91,147.91,154.18,230.41,241.2,247.47,288.22,325.18,333.93,CINELINE
Net Block,231.28,104.01,99.43,93.36,87.25,84.48,80.91,230.85,103.99,80.21,CINELINE
Capital Work in Progress,23.88,,,,0.74,,,,,,CINELINE
Investments,1.91,,,,,,,0.01,0.01,89.63,CINELINE
Other Assets,91.49,12.9,48.48,60.82,142.42,156.72,166.56,57.36,221.18,164.09,CINELINE
Total,348.56,116.91,147.91,154.18,230.41,241.2,247.47,288.22,325.18,333.93,CINELINE
Receivables,9.36,1.79,3.31,1.93,2.72,2.78,2.7,2.77,1.85,2.9,CINELINE
Inventory,2.51,,,,,,,,,,CINELINE
Cash & Bank,5.14,1.67,1.41,1.32,1.43,1.23,1.15,22.14,0.5,9.64,CINELINE
No. of Equity Shares,28000000.0,28000000.0,28000000.0,28000000.0,28000000.0,28000000.0,28000000.0,28000000.0,28000000.0,28000000.0,CINELINE
New Bonus Shares,,,,,,,,,,,CINELINE
Face value,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,CINELINE
